epoch,loss,irl-loss,plan-loss,train-plannerADE1,train-plannerFDE1,train-plannerADE2,train-plannerFDE2,train-plannerADE3,train-plannerFDE3
1,4.776990015741805,0.020916260330254066,4.756073769549249,0.12468690918364995,0.3204174608411923,0.9311347049726567,2.514142778557791,2.2969620521639436,6.706661121945985
2,1.4842630649956179,0.0006291613558011743,1.483633902710928,0.11359109084161234,0.2865209853355314,0.6996711706611473,1.6404622230731265,1.229282858086304,2.3764801696992257
3,1.1217314798227498,0.00030488024350861577,1.1214265970277115,0.10218320818434298,0.2531928449449405,0.5412942741958189,1.1571933782436479,0.9301649881920344,1.9523914347232227
4,0.952553393135608,0.00026928647784329703,0.9522841048072761,0.09691340240164542,0.23816536944097197,0.4766734905645881,0.9673941227751719,0.8090900388401998,1.7466702738278348
5,0.9156366343229589,0.0002996867938748783,0.9153369434282813,0.09499682438835291,0.23292962724054364,0.4575644506954811,0.9123185449083087,0.7787162762292674,1.7129782505438362
6,0.7102547033991612,0.00016457788312346938,0.710090125740414,0.09111056009858427,0.2219700778663998,0.41057870379635986,0.7719836537267121,0.6693255760720078,1.3927102416334018
7,0.6447212956321071,0.00014028453106733086,0.6445810110636161,0.08920981666781533,0.2168443124269096,0.39177614954155937,0.7150450982678105,0.6235638739357532,1.2934224710498057
8,0.6283851234425961,0.00014446828110111978,0.6282406568946973,0.0883056666754501,0.2145444089677972,0.3857127912867237,0.6989434420222967,0.6119610507723311,1.2748006292631928
9,0.5793826030173772,0.00015382350990658382,0.5792287802192527,0.08689170603601026,0.21075162029182407,0.37275508465901225,0.6618959278288022,0.5802638029128733,1.1995134949684143
10,0.5485966719791923,0.0001515909307016327,0.5484450818367408,0.08561060178867529,0.2073157476917119,0.3611467016834608,0.6290779367718898,0.5602540231086839,1.160595691959623
11,0.5255537136969431,0.00016542594112508313,0.5253882884559496,0.0849700819858363,0.20569230637080232,0.35863714990481527,0.6253904118924074,0.5512722067429986,1.1241187172036775
12,0.49617692660277996,0.0001875084374685838,0.49598941710633293,0.08413944771172295,0.2034689157571591,0.34951084390492504,0.5948991166873717,0.5300340350245086,1.082129010012452
